name,age,monthly income,ns1,ns2,ns3,city(made-up),nationality,sb,gender,phone,marital status,current employment status,most recent occupation,dbms,visualization tools,experience(in years),days_since_applying,continent,num_skills
Michael Rogers,38.0,5565.0,missing,1,abc,New Chadport,Belize,True,missing,+1-668-847-4082x455,missing,unemployed,"Producer, television/film/video",SQL,R,3,284.0,North America,2
Melanie Lee,42.452599388379205,87209.0,a,1,missing,Amberburgh,South Africa,True,missing,4950674644,married,employed,Communications engineer,missing,PowerBI,2,539.2338129496403,Africa,2
Wesley Valdez,56.0,69543.0,a,0,001,South Wendyberg,Russian Federation,True,missing,807.585.6760x214,missing,freelancer,Network engineer,SQL,R,3,29.0,Europe,2
William Lewis,43.0,24016.0,a,0,missing,New Lori,Bahrain,True,M,+1-485-428-3049x373,married,missing,"Therapist, occupational",Python,Tableau,5,344.0,Asia,2
Zachary Allen,49.0,147401.0,b,0,missing,Rodriguezfort,Russian Federation,True,missing,(995)722-6963x471,single,unemployed,"Engineer, broadcasting (operations)",Python,PowerBI,1,470.0,Europe,2
Lauren Dominguez,53.0,60215.0,c,0,missing,Robertsside,Lithuania,True,missing,454-704-0647,missing,employed,"Scientist, water quality",Excel,missing,4,597.0,Europe,2
Stephen Campbell,45.0,73670.0,c,0,missing,South Charles,Uzbekistan,True,missing,(586)309-9012x982,single,employed,"Radiographer, diagnostic",SQL,missing,0,1071.0,Asia,2
Andrea Smith,42.0,15965.0,b,0,001,New Brandon,Macao,True,F,001-790-650-5581,married,employed,Architectural technologist,Python,missing,6,853.0,Asia,2
Hector Lee,65.0,51413.0,missing,1,002,South Michael,Bouvet Island (Bouvetoya),True,missing,+1-449-862-6817x0607,married,freelancer,"Surveyor, rural practice",SQL,PowerBI,6,1067.0,Unknown,2
Victoria Yu,48.0,125665.0,c,1,002,East Briannaside,Palestinian Territory,False,M,265.322.0372x8833,married,missing,Professor Emeritus,Python,R,1,513.0,Unknown,2
Paula Hutchinson,42.452599388379205,145565.0,c,1,001,Brianberg,Hong Kong,True,F,001-640-464-0965x010,missing,employed,Insurance risk surveyor,Excel,missing,6,539.2338129496403,Asia,2
Joseph Long,42.452599388379205,139066.0,b,1,missing,Johntown,Hungary,False,Other,+1-299-929-2549x116,missing,employed,"Psychologist, sport and exercise",missing,missing,10,539.2338129496403,Europe,2
Mr. Robert Cole,38.6,23343.0,c,0,003,Lake Daniel,Angola,True,Other,001-582-990-2013,missing,missing,Control and instrumentation engineer,Python,missing,4,103.0,Africa,2
Mandy Oconnell,26.0,104390.0,c,0,missing,Aprilland,Paraguay,True,missing,(022)656-1218x7030,single,freelancer,Travel agency manager,Python,Tableau,6,593.6,South America,2
Paul Figueroa,52.8,120909.0,a,0,abc,East Christine,Kazakhstan,False,M,+1-516-129-3372,missing,employed,Mining engineer,SQL,R,3,7.0,Asia,2
Jamie Obrien,27.0,129554.0,b,0,abc,Lake Kyle,Belarus,False,missing,075-735-5797,missing,unemployed,"Therapist, drama",SQL,PowerBI,1,383.0,Europe,2
Shannon Stevens,32.0,70325.0,b,0,002,Seanshire,Japan,True,missing,744-501-4743x0584,missing,missing,"Designer, industrial/product",missing,missing,6,413.20000000000005,Asia,2
Krista Nelson,46.0,69812.0,b,0,abc,New Johnfort,Norfolk Island,False,Other,2825052849,single,freelancer,Conference centre manager,SQL,R,5,672.0,Oceania,2
Barry Burton,52.0,105410.0,c,0,001,Johnland,El Salvador,True,missing,001-517-776-8117x003,missing,missing,Sales promotion account executive,Excel,Tableau,6,714.0,North America,2
Ruben Martin,41.0,104714.0,missing,1,003,Lake Judithburgh,Botswana,True,missing,(294)493-6976,married,missing,Software engineer,SQL,R,6,161.0,Africa,2
Angela Thomas,46.4,110989.0,c,0,002,Ortizland,Cuba,True,missing,845-357-5003,single,employed,Commercial/residential surveyor,missing,Tableau,7,780.0,North America,2
Jerome Zuniga,42.452599388379205,124196.0,c,0,abc,North Anthonyfort,Svalbard & Jan Mayen Islands,True,missing,620.694.9930x75902,single,missing,Oceanographer,Excel,missing,0,539.2338129496403,Unknown,2
Kathy Johnson,50.2,15553.0,a,0,002,East Barbara,United States Virgin Islands,True,missing,019-220-6556,married,unemployed,"Engineer, aeronautical",missing,PowerBI,9,1042.0,North America,2
John Torres,35.8,48984.0,b,0,003,Michelemouth,Greenland,True,missing,+1-338-023-5504x912,missing,missing,"Engineer, aeronautical",missing,missing,3,564.0,North America,2
Christopher Lewis,36.8,84058.0,b,0,001,Fowlerfort,Saint Lucia,True,missing,+1-661-050-1124x599,missing,employed,Conference centre manager,missing,R,0,248.0,North America,2
Donald Strickland,49.0,125517.0,c,1,002,South Michaelmouth,Puerto Rico,True,missing,(653)669-4143x1283,missing,missing,Health and safety inspector,missing,missing,4,592.8,North America,2
Anthony Lee,33.0,68927.0,missing,0,missing,Greenfurt,New Zealand,True,Other,+1-480-842-5240x050,missing,freelancer,Government social research officer,SQL,missing,3,21.0,Oceania,2
Patricia Robertson,48.0,77422.0,missing,1,missing,Brownborough,Ireland,False,M,745.025.7085x713,missing,missing,Corporate investment banker,missing,Tableau,7,122.0,Europe,2
Phillip Collins PhD,42.452599388379205,29393.0,b,0,abc,Danielleton,Cambodia,False,Other,(186)264-8348x23113,missing,missing,Ceramics designer,missing,missing,5,539.2338129496403,Asia,2
Jaclyn Morales,40.4,123946.0,b,1,003,Sharonmouth,Guadeloupe,False,M,(029)028-1963x66055,married,freelancer,Midwife,Excel,missing,2,917.0,North America,2
Deanna Monroe,42.452599388379205,142530.0,b,1,002,North Noahstad,French Polynesia,True,F,001-055-206-9314,married,freelancer,"Therapist, occupational",Excel,missing,2,539.2338129496403,Oceania,2
Robert Atkinson,20.0,38103.0,missing,1,001,Lake Marthashire,Mali,True,missing,026.589.2997x601,missing,freelancer,Food technologist,SQL,PowerBI,4,526.6,Africa,2
William Khan,25.0,19053.0,c,0,missing,Ortizstad,Guinea-Bissau,True,M,391-726-8528,single,missing,English as a second language teacher,missing,missing,9,501.6,Africa,2
Jacqueline Thomas,42.452599388379205,121056.0,b,0,abc,Gabrielaton,Lebanon,True,missing,001-460-336-6472x482,single,missing,"Embryologist, clinical",Excel,Tableau,10,539.2338129496403,Asia,2
Melissa Wood MD,43.2,50564.0,missing,1,002,Port Raven,Cook Islands,True,missing,9410097954,missing,freelancer,Writer,Excel,Tableau,4,691.0,Oceania,2
Andrea Rogers,42.452599388379205,66190.0,b,0,missing,West Austinberg,Nigeria,False,missing,(716)392-4048x65802,married,unemployed,Field trials officer,Python,Tableau,1,539.2338129496403,Africa,2
Brandon Howell,42.452599388379205,80657.0,missing,1,abc,Chavezborough,Togo,True,missing,+1-823-306-4353x937,missing,missing,"Surveyor, minerals",Excel,missing,0,539.2338129496403,Africa,2
Felicia Ford,42.452599388379205,28940.0,a,0,missing,Lake Ericchester,Antarctica (the territory South of 60 deg S),True,Other,624.579.5091,single,unemployed,Automotive engineer,missing,missing,10,539.2338129496403,Unknown,2
Lisa Schroeder,35.0,133902.0,b,0,003,West Arthur,Guadeloupe,True,Other,101-463-3567,single,unemployed,Catering manager,Python,missing,7,567.6,North America,2
Kimberly Macias,42.452599388379205,28084.0,c,1,003,West Christinahaven,Namibia,True,missing,307-541-1660,single,missing,"Psychologist, forensic",missing,missing,0,539.2338129496403,Africa,2
Kristi Cummings,42.452599388379205,120878.0,a,0,003,Richardbury,Lesotho,False,Other,+1-397-188-7852x094,missing,employed,Broadcast engineer,Excel,missing,3,539.2338129496403,Africa,2
Rachel Miranda,42.452599388379205,111952.0,b,0,001,Schwartzville,Samoa,True,M,520-798-2388,married,missing,Training and development officer,Python,missing,4,539.2338129496403,Oceania,2
Jeffery White,35.2,42917.0,missing,0,missing,Port Dominiqueberg,Belgium,False,M,001-942-687-1894x27930,missing,freelancer,Computer games developer,missing,R,0,874.0,Europe,2
David Montes,42.452599388379205,133356.0,c,0,missing,Caitlinstad,Syrian Arab Republic,True,Other,347-408-1666,missing,missing,Podiatrist,Python,Tableau,3,539.2338129496403,Asia,2
Robert Lopez,42.0,128987.0,missing,1,missing,Carrhaven,French Polynesia,False,missing,073.605.1346x7211,married,missing,"Producer, radio",missing,R,1,309.0,Oceania,2
Austin Lester,42.452599388379205,42789.0,missing,0,001,Yolandafurt,Martinique,True,Other,001-059-540-6718x227,missing,employed,"Surveyor, insurance",Python,missing,6,539.2338129496403,North America,2
Christopher Tran,42.452599388379205,14410.0,b,0,missing,Taylortown,United Kingdom,True,F,999-029-5235x3392,single,missing,Podiatrist,Excel,PowerBI,7,539.2338129496403,Europe,2
Roy Perkins,49.0,19711.0,b,0,003,Mirandaton,Iran,True,F,211-229-9690,missing,missing,Orthoptist,SQL,Tableau,2,449.0,Asia,2
Michael Jones,42.452599388379205,135460.0,c,0,abc,Lake Nicoleton,Heard Island and McDonald Islands,True,missing,0539686182,single,missing,Armed forces training and education officer,Python,missing,2,539.2338129496403,Antarctica,2
Heather Edwards,42.452599388379205,116230.0,b,0,003,Martinezfort,Singapore,False,missing,(963)876-9289,single,unemployed,Tourist information centre manager,missing,missing,5,539.2338129496403,Asia,2
Mary Lewis,45.0,108758.0,b,1,missing,Kathrynmouth,Netherlands,True,missing,046-924-6024,missing,freelancer,"Engineer, agricultural",SQL,missing,5,524.0,Europe,2
Kathleen Moreno,58.0,40855.0,b,1,003,Willieborough,Panama,True,M,001-428-847-1241x312,missing,unemployed,Education administrator,Excel,R,5,474.8,North America,2
David Turner,44.0,146402.0,c,0,missing,Port Elizabethfurt,Peru,True,F,001-607-220-2871x929,missing,freelancer,"Production assistant, radio",Python,PowerBI,7,199.0,South America,2
Anna Austin,27.0,100885.0,b,1,001,Robinsonville,Taiwan,True,missing,990-951-7260x43210,missing,freelancer,Software engineer,Python,missing,6,515.0,Asia,2
William Fisher,41.0,90984.0,a,1,missing,Huffton,Saint Martin,True,Other,001-156-656-8112x7988,missing,employed,Health promotion specialist,SQL,PowerBI,0,732.0,North America,2
Elizabeth Mcintyre,49.0,145914.0,c,1,abc,Laurastad,Netherlands Antilles,True,missing,726-897-3827x10292,married,missing,"Research officer, political party",Excel,missing,9,1049.0,Unknown,2
Lisa Davis,35.0,121574.0,a,0,001,Arellanohaven,Malta,True,missing,836.114.4022x22742,missing,employed,Site engineer,missing,R,3,280.0,Europe,2
Brenda Bernard,47.0,10598.0,a,0,002,Sabrinafort,Vanuatu,False,missing,(166)792-0805,single,missing,Community arts worker,SQL,missing,3,197.0,Oceania,2
Billy Young,39.0,42929.0,c,0,003,Johnsonhaven,Belize,False,M,(755)980-3533x9988,single,unemployed,Accounting technician,Excel,R,3,451.20000000000005,North America,2
Alexander Rice,38.0,38228.0,missing,0,001,South Raymondside,Guam,True,missing,(755)157-7991,missing,missing,Local government officer,missing,PowerBI,7,714.0,Oceania,2
Tammy Holder,38.2,141695.0,b,0,missing,Mariaburgh,Guatemala,True,M,+1-561-378-0578x420,missing,missing,Hospital doctor,Excel,missing,7,342.0,North America,2
Sherri Mahoney,42.452599388379205,38080.0,b,0,missing,Millerton,Thailand,True,missing,599-156-0004x6101,missing,missing,Optometrist,missing,missing,6,539.2338129496403,Asia,2
Jamie Hess,62.0,61367.0,missing,0,002,Davidview,Netherlands Antilles,True,Other,146-489-0365x7940,missing,missing,"Scientist, research (physical sciences)",Excel,R,6,761.8,Unknown,2
Kimberly Lee,43.4,129326.0,b,1,001,West Edward,French Polynesia,True,missing,(668)197-6720x158,missing,unemployed,Clinical cytogeneticist,missing,PowerBI,9,986.0,Oceania,2
Jose Williams,39.8,115870.0,a,1,missing,Lake Josephmouth,Romania,True,Other,808.673.1314,married,unemployed,Event organiser,missing,Tableau,1,490.0,Europe,2
Eugene Jackson,52.4,64286.0,missing,0,missing,Lake Dennis,Norway,True,missing,(142)960-7376,missing,employed,Research scientist (maths),SQL,R,4,991.0,Europe,2
Devon Clark,40.0,110063.0,b,0,missing,Robertstad,Eritrea,True,M,001-295-092-8027x504,married,missing,Contractor,missing,missing,5,749.0,Africa,2
Xavier Jenkins,42.4,27270.0,a,0,002,New Benjamin,Georgia,True,M,253-892-2888x25451,missing,missing,"Geologist, engineering",missing,missing,7,411.0,Asia,2
Faith Wolfe,35.0,117699.0,b,1,missing,Edwardsmouth,India,True,missing,(550)102-6564,missing,employed,Sports administrator,SQL,missing,9,567.6,Asia,2
Elizabeth Lopez,18.0,40975.0,b,1,003,West David,Sri Lanka,True,M,121.733.0318x1642,missing,unemployed,Furniture designer,SQL,missing,8,721.0,Asia,2
Andrew Sanchez,42.452599388379205,97842.0,b,1,missing,New Joelshire,Togo,True,missing,+1-928-736-6241x865,missing,employed,"Designer, exhibition/display",Python,missing,6,539.2338129496403,Africa,2
Charles Velasquez,42.452599388379205,111176.0,a,0,002,East Samantha,Honduras,True,Other,6620010620,missing,employed,Corporate investment banker,SQL,missing,9,539.2338129496403,North America,2
Lisa Williams,51.0,94001.0,a,0,002,Port Randallfurt,Senegal,True,missing,313-885-6435x7643,single,missing,Insurance broker,missing,Tableau,5,725.8,Africa,2
Darryl Jones,45.0,43389.0,b,0,002,Andrewside,Cook Islands,False,M,001-544-820-2981,missing,missing,Multimedia specialist,missing,missing,7,203.0,Oceania,2
Devon Nelson,42.452599388379205,87873.0,c,0,001,Garciabury,Ghana,True,missing,920.688.2605,missing,freelancer,Purchasing manager,missing,PowerBI,5,539.2338129496403,Africa,2
William Lawrence,42.452599388379205,19913.0,c,1,001,New Beckytown,Svalbard & Jan Mayen Islands,True,missing,001-896-172-4778x0263,missing,missing,Materials engineer,missing,missing,0,539.2338129496403,Unknown,2
Jo Liu,41.6,129683.0,missing,0,001,West Patrickstad,Algeria,True,M,854.380.9569x8717,single,missing,Rural practice surveyor,SQL,PowerBI,3,1093.0,Africa,2
Jennifer Matthews,42.452599388379205,46614.0,c,0,003,Nguyenstad,Tanzania,True,missing,+1-453-309-5464x4876,single,freelancer,"Designer, graphic",Excel,R,1,539.2338129496403,Africa,2
Whitney Schultz,43.4,44419.0,c,1,missing,Merrittport,Maldives,False,Other,001-426-594-5589x6301,missing,unemployed,Volunteer coordinator,missing,PowerBI,4,598.0,Asia,2
Natasha Ellison,48.0,142990.0,b,1,missing,South Albertton,Ecuador,True,M,+1-423-645-7731x394,missing,unemployed,Surgeon,SQL,R,7,821.0,South America,2
Nicholas Coleman,32.0,31513.0,missing,0,missing,New Codyburgh,Malawi,True,Other,(045)861-5232,married,missing,Scientific laboratory technician,missing,Tableau,2,140.0,Africa,2
Maria Lee,46.8,16453.0,missing,0,missing,Mcconnellville,Zambia,False,missing,546.778.4989x84287,missing,missing,Clinical embryologist,SQL,missing,3,1033.0,Africa,2
Megan Lara,48.0,120499.0,missing,1,abc,East Davidfurt,Latvia,True,F,(512)928-8232x54878,married,freelancer,"Scientist, biomedical",Excel,missing,5,591.0,Europe,2
Brenda Green,42.452599388379205,79727.0,b,0,003,New Zachary,Guatemala,True,missing,834.753.1015x6665,missing,employed,Chief Financial Officer,SQL,missing,5,539.2338129496403,North America,2
Nicole Jackson,44.0,66807.0,missing,1,003,East Mistyhaven,Bulgaria,False,M,064-596-8196,single,freelancer,Mudlogger,SQL,Tableau,0,384.8,Europe,2
Zachary Williams,48.4,127974.0,missing,0,001,Port Russellfurt,Zambia,True,M,+1-059-216-6187x865,married,unemployed,Wellsite geologist,missing,missing,8,693.0,Africa,2
Raymond Booth,39.2,17517.0,a,1,missing,New Timothy,Central African Republic,True,M,4671580242,missing,missing,"Horticulturist, commercial",missing,PowerBI,10,1067.0,Africa,2
Maureen White,54.0,5410.0,c,0,missing,East Nicole,Gibraltar,True,F,001-461-534-8728,single,missing,Futures trader,Python,PowerBI,8,1054.0,Europe,2
Kimberly Ingram,42.452599388379205,128243.0,a,1,003,Lopezchester,Vietnam,True,M,0124139533,single,freelancer,Brewing technologist,SQL,PowerBI,9,539.2338129496403,Asia,2
Holly Wright,39.0,93748.0,c,0,missing,Sanchezmouth,Nepal,True,F,7879511674,single,missing,Water engineer,Excel,R,3,109.00000000000006,Asia,2
David Davis,30.0,140104.0,missing,0,abc,Stevenside,Canada,True,M,(366)192-5013x51850,married,freelancer,Warehouse manager,Python,PowerBI,10,309.0,North America,2
Johnny Johnson,35.0,109863.0,missing,1,003,Xaviermouth,Bosnia and Herzegovina,False,missing,(789)670-7826x0804,missing,freelancer,"Psychologist, sport and exercise",missing,R,1,542.0,Europe,2
Daniel Hernandez,45.0,52305.0,missing,1,003,New Brady,Swaziland,True,M,921.774.2247x1711,missing,freelancer,Secretary/administrator,missing,missing,6,531.4,Africa,2
Emily Joseph,43.4,97421.0,missing,1,missing,Lake Tiffanyport,Mozambique,True,M,119.037.9193x3533,missing,freelancer,"Psychologist, forensic",missing,Tableau,0,838.0,Africa,2
Tracey Sanders,42.452599388379205,22624.0,a,0,003,North Kenneth,Nauru,True,missing,+1-744-795-8435x641,married,missing,"Therapist, nutritional",Python,R,7,539.2338129496403,Oceania,2
Vanessa Jones,54.0,87414.0,b,0,001,Adrianbury,Falkland Islands (Malvinas),True,F,103-530-7406x06289,missing,missing,Community pharmacist,Excel,R,4,374.6,South America,2
James Ryan,46.0,133765.0,a,1,002,Heatherside,Ghana,True,missing,5211558523,missing,employed,"Surveyor, planning and development",Python,R,1,672.0,Africa,2
Nicole Hernandez,44.2,50636.0,c,0,002,Dennismouth,Egypt,True,F,(685)395-8366x282,married,missing,Medical illustrator,Excel,R,8,807.0,Africa,2
Stephanie Drake,42.452599388379205,27600.0,b,1,abc,Port Paulshire,Azerbaijan,True,missing,+1-498-500-1764x478,missing,missing,Rural practice surveyor,Excel,Tableau,5,539.2338129496403,Asia,2
Theodore Mooney,42.452599388379205,95312.0,c,0,missing,Lorimouth,Rwanda,False,F,001-062-933-7783x64868,single,employed,"Education officer, community",missing,Tableau,4,539.2338129496403,Africa,2
Amanda Oconnor,42.4,141025.0,b,1,003,Lake Richard,Bahamas,False,missing,+1-780-801-0111x69819,married,freelancer,Animal nutritionist,missing,missing,1,530.0,North America,2
Sarah Campbell,59.0,45421.0,c,0,missing,North Rogermouth,China,True,missing,170-811-6326x9997,single,employed,"Horticulturist, commercial",Excel,missing,4,540.0,Asia,2
Melissa Butler,42.452599388379205,12939.0,missing,0,003,Port Jenniferview,Indonesia,True,missing,069.297.7785x433,missing,freelancer,Immunologist,missing,PowerBI,0,539.2338129496403,Asia,2
Robert Taylor,42.452599388379205,94179.0,c,0,missing,Port Christina,Saint Helena,True,Other,1674844940,married,freelancer,Tourism officer,missing,missing,1,539.2338129496403,Unknown,2
Natasha Roberts,46.2,69990.0,c,1,001,New Arielton,Isle of Man,True,missing,142-645-6615x91314,missing,unemployed,Photographer,SQL,R,9,292.0,Europe,2
Robin Hubbard,38.0,139932.0,missing,0,003,Rangelstad,Saint Pierre and Miquelon,True,M,524-079-6563,missing,missing,"Doctor, hospital",missing,Tableau,3,510.0,North America,2
Joshua Jones,40.0,128361.0,b,0,001,Mariobury,Saint Lucia,True,missing,(790)698-1931x122,missing,freelancer,Theatre director,missing,R,0,843.0,North America,2
Katrina Garcia,42.452599388379205,80655.0,b,1,missing,Caldwellbury,Iran,True,missing,580.829.0181x5797,single,unemployed,Community development worker,Excel,missing,5,539.2338129496403,Asia,2
Danielle Luna,42.6,138463.0,missing,0,001,Catherinebury,Gibraltar,True,M,8255676123,missing,missing,"Lecturer, higher education",missing,missing,2,1081.0,Europe,2
Martha Orr,50.0,88500.0,c,1,missing,North Elizabethfurt,Ghana,True,missing,235-342-7506,missing,missing,Product manager,Python,missing,0,765.0,Africa,2
Dorothy Payne,45.0,85655.0,a,0,abc,Smithland,Lebanon,True,missing,540-745-2141,married,employed,Immigration officer,missing,missing,2,526.0,Asia,2
Gerald Robbins,42.452599388379205,104664.0,c,0,001,West Barbaraborough,Cuba,True,F,(985)656-5711,missing,freelancer,Actuary,missing,Tableau,6,539.2338129496403,North America,2
Michelle Yoder,42.452599388379205,128628.0,a,0,missing,East Stanleyhaven,United Arab Emirates,False,missing,255.677.7751x204,missing,missing,Horticultural consultant,missing,R,2,539.2338129496403,Asia,2
Michael Johnson,42.452599388379205,74300.0,missing,0,002,Shermanborough,Benin,True,missing,288-024-9262,married,freelancer,Metallurgist,Python,Tableau,7,539.2338129496403,Africa,2
Desiree Myers,42.452599388379205,76685.0,b,1,missing,East Sharon,Samoa,True,missing,0839417786,married,freelancer,Armed forces technical officer,Excel,R,1,539.2338129496403,Oceania,2
Harold Bailey,36.2,61095.0,a,0,003,Port Shawnmouth,Marshall Islands,True,F,3024790665,married,unemployed,Museum/gallery conservator,Excel,missing,3,574.0,Oceania,2
Julia Nelson,32.0,128837.0,b,0,001,West Kimberlyshire,Guam,False,missing,426-940-6302x7709,missing,missing,Waste management officer,SQL,R,5,159.0,Oceania,2
Aaron Myers,59.0,65875.0,missing,1,002,New Nicole,Benin,True,F,775.930.0662x321,missing,missing,Advertising account executive,SQL,R,0,292.0,Africa,2
Joshua Hill,42.452599388379205,92829.0,b,0,missing,North Kathleenberg,Norway,True,F,651.014.9501x8873,missing,freelancer,"Scientist, marine",SQL,PowerBI,5,539.2338129496403,Europe,2
Leslie Brandt,39.0,8692.0,c,1,missing,Tammyland,Maldives,False,F,+1-530-373-4367x53495,missing,missing,Marketing executive,missing,R,1,659.0,Asia,2
Patrick Decker,60.0,130161.0,c,0,001,Zacharyfurt,Palestinian Territory,True,missing,916-662-7568x1705,missing,freelancer,Armed forces training and education officer,Python,R,9,120.0,Unknown,2
Rebecca Woods,54.0,66945.0,a,1,abc,West Lindsey,Tunisia,True,F,001-046-327-1292x11932,missing,employed,Financial adviser,Python,R,9,276.0,Africa,2
Jason Shaw,32.0,102943.0,missing,0,abc,New Ralphland,Spain,False,F,284.488.7396x123,single,missing,Clinical biochemist,missing,missing,5,413.20000000000005,Europe,2
Barbara Thompson,54.0,137510.0,a,0,missing,Lake Michael,Uzbekistan,False,F,773-890-5841x74406,missing,employed,"Scientist, biomedical",SQL,missing,7,49.0,Asia,2
Michael Baldwin,44.2,139544.0,missing,0,missing,New Craigmouth,Macao,True,missing,390.783.6167x089,missing,employed,"Scientist, water quality",missing,R,0,805.0,Asia,2
Lisa Norris,38.6,95316.0,b,0,001,Martinezview,Netherlands,True,missing,(081)336-3500x446,missing,missing,Health physicist,SQL,Tableau,10,260.0,Europe,2
Crystal Rivera,33.2,105264.0,missing,1,abc,Garciamouth,Equatorial Guinea,True,missing,001-194-778-7681x583,missing,employed,Ceramics designer,SQL,missing,6,369.0,Africa,2
Edwin Alvarado,41.0,10959.0,b,0,missing,Jamesside,Estonia,True,missing,229-076-4146x9664,married,unemployed,Clinical psychologist,missing,R,2,156.0,Europe,2
Ryan Andersen,36.4,114901.0,a,0,002,Curtishaven,Hungary,True,M,+1-232-277-6597x571,single,missing,Systems developer,missing,PowerBI,3,337.0,Europe,2
Linda Johnson,42.452599388379205,61955.0,a,0,missing,Aguilarmouth,Serbia,True,F,001-364-137-2395x60407,missing,missing,Jewellery designer,missing,R,3,539.2338129496403,Europe,2
Tamara Montgomery,42.452599388379205,83774.0,b,1,missing,Lake Christinabury,Macao,False,missing,+1-418-733-9992x1200,missing,employed,Physiotherapist,Python,missing,8,539.2338129496403,Asia,2
Andrew Vaughn,42.452599388379205,103686.0,c,0,abc,Lake Larry,Papua New Guinea,False,F,261-548-4154,married,missing,Higher education lecturer,Excel,missing,6,539.2338129496403,Oceania,2
Brooke Smith,40.2,71845.0,a,0,missing,Jaychester,Korea,True,missing,+1-844-394-2815,single,missing,Community development worker,SQL,PowerBI,4,639.0,Unknown,2
Raymond Vasquez,42.452599388379205,24079.0,a,0,missing,Goodwinmouth,Brazil,False,missing,902.585.3024x9504,missing,freelancer,Financial controller,Excel,Tableau,3,539.2338129496403,South America,2
Michelle Martinez,42.452599388379205,58611.0,missing,0,missing,Heatherberg,Micronesia,True,Other,031-861-8126x6233,missing,missing,"Teacher, music",Python,R,4,539.2338129496403,Oceania,2
Dr. Joseph Cortez,42.452599388379205,128074.0,c,0,003,East Roberttown,Egypt,True,missing,742-088-4818,married,unemployed,Equities trader,Excel,R,8,539.2338129496403,Africa,2
Theodore Brown,42.452599388379205,56430.0,c,0,abc,Davisburgh,Jordan,False,missing,060-617-9575,missing,freelancer,"Scientist, forensic",missing,missing,7,539.2338129496403,Asia,2
Joshua Johnson,42.4,148273.0,missing,0,missing,Jamesborough,Cook Islands,True,missing,001-467-376-0968,single,employed,"Accountant, chartered management",Excel,missing,2,410.0,Oceania,2
Erica Gregory,32.0,137574.0,missing,0,001,Christopherfort,Lebanon,True,missing,+1-274-535-0266,single,missing,Chief Technology Officer,missing,missing,0,484.0,Asia,2
Crystal Malone,38.8,80153.0,a,0,missing,Jessicabury,China,True,F,927.684.1150,single,missing,"Presenter, broadcasting",SQL,Tableau,3,668.0,Asia,2
